"Image Name","PID","Session Name","Session#","Mem Usage"
"msedge.exe","23456","Console","1","22,012 K"
"msedge.exe","15260","Console","1","32,324 K"
"msedge.exe","6836","Console","1","30,956 K"
"msedge.exe","17056","Console","1","33,232 K"
"msedge.exe","14188","Console","1","9,060 K"
"msedge.exe","23152","Console","1","9,084 K"
"msedge.exe","20784","Console","1","31,172 K"
"msedge.exe","29200","Console","1","30,496 K"
"msedge.exe","16168","Console","1","30,616 K"
"msedge.exe","28088","Console","1","36,880 K"
"OneDrive.exe","28136","Console","1","128,012 K"
"msedge.exe","26848","Console","1","129,512 K"
"WhatsApp.exe","29652","Console","1","28,312 K"
"RuntimeBroker.exe","30268","Console","1","23,076 K"
"GoogleDriveFS.exe","9476","Console","1","88,636 K"
"GoogleDriveFS.exe","16224","Console","1","60,576 K"
"conhost.exe","20364","Console","1","14,136 K"
"GoogleDriveFS.exe","30308","Console","1","25,360 K"
"GoogleDriveFS.exe","6920","Console","1","34,164 K"
"GoogleDriveFS.exe","30656","Console","1","31,620 K"
"GoogleDriveFS.exe","29116","Console","1","61,936 K"
"steamwebhelper.exe","30004","Console","1","77,720 K"
"msedge.exe","27704","Console","1","129,144 K"
"msedge.exe","28188","Console","1","35,068 K"
"AdobeCollabSync.exe","7876","Console","1","20,464 K"
"AdobeCollabSync.exe","19716","Console","1","32,952 K"
"devenv.exe","4396","Console","1","850,908 K"
"Microsoft.ServiceHub.Controller.exe","436","Console","1","82,848 K"
"ServiceHub.VSDetouredHost.exe","14192","Console","1","114,336 K"
"PerfWatson2.exe","29872","Console","1","71,656 K"
"ServiceHub.IdentityHost.exe","5764","Console","1","163,252 K"
"ServiceHub.IndexingService.exe","30660","Console","1","91,620 K"
"ServiceHub.IntellicodeModelService.exe","2736","Console","1","55,252 K"
"vshost.exe","15380","Console","1","1,512 K"
"ServiceHub.ThreadedWaitDialog.exe","744","Console","1","135,372 K"
"vcpkgsrv.exe","19824","Console","1","119,648 K"
"svchost.exe","24276","Services","0","21,772 K"
"svchost.exe","25364","Services","0","12,364 K"
"svchost.exe","18236","Services","0","9,444 K"
"svchost.exe","12632","Services","0","6,564 K"
"svchost.exe","16932","Services","0","7,648 K"
"SearchProtocolHost.exe","740","Console","1","8,708 K"
"SearchFilterHost.exe","10104","Services","0","8,260 K"
"msedge.exe","28052","Console","1","34,404 K"
"smartscreen.exe","14440","Console","1","9,644 K"
"ServiceHub.Host.dotnet.x64.exe","17764","Console","1","81,156 K"
"OpenConsole.exe","7740","Console","1","10,304 K"
"cmd.exe","7728","Console","1","8,432 K"
"tasklist.exe","28832","Console","1","10,024 K"
"git.exe","25836","Console","1","2,016 K"
"conhost.exe","23748","Console","1","2,356 K"
